user_id,name,stars,text,gmap_id,date,hour,sentiment_analysis
107911502804324987451,Heather Diekman,1,"The cashier was the first person I ever met. Acted as if she was bothered go even exist. Heaven forbid you bought something, she asked what else. When told that this was it she rolled her eyes. Then rolled her eyes when asking for cash back. Obviously needs more training in customer service. Been to nicer kangaroo expresses than this one",0x88e5b4a1d816111b:0x38d7071333903369,2021-04-24,17:29:22,1
103474868622180529503,Heather M,3,Cashier acted as though she was bothered by customers wanting to pay for their items.,0x88e5b4a1d816111b:0x38d7071333903369,2020-09-26,12:31:24,1
118146142741420564479,Mark Burns,4,Small and convenient gas station.,0x88e5b4a1d816111b:0x38d7071333903369,2019-12-11,01:09:44,1
108947419249227108145,Gary Daughtry,4,"As good as any other older style convenience store. Easy entrance, easy exit.",0x88e5b4a1d816111b:0x38d7071333903369,2017-05-23,23:57:29,3
116973803927966787920,Cody Miller,1,Employees roam outside on smoke breaks all day long.,0x88e5b4a1d816111b:0x38d7071333903369,2020-02-12,15:07:40,1
114086959163993198700,Zachary Last,5,Well mannered employees and clean store.,0x88e5b4a1d816111b:0x38d7071333903369,2016-12-16,05:52:23,2
112258877461894357196,Mike Davison,5,Always nice people working,0x88e5b4a1d816111b:0x38d7071333903369,2018-02-09,17:40:14,1
117220781336054912781,Jesse Hathaway,4,None,0x88e5b4a1d816111b:0x38d7071333903369,2018-03-12,16:21:51,1
116690820578809367610,Random Red,4,None,0x88e5b4a1d816111b:0x38d7071333903369,2018-01-16,03:23:33,1
103072257726163222818,Yomie Liri,5,None,0x88e5b4a1d816111b:0x38d7071333903369,2018-02-20,13:44:25,1
110368443367405562151,Gina Kirkland,1,No gas pumps,0x88e8ec2cbe4ec8e3:0x33cd95344d6390a3,2021-07-04,14:20:00,1
108920155345060818366,Matthew Flynn,5,Sam and the staff very friendly!,0x88e8ec2cbe4ec8e3:0x33cd95344d6390a3,2019-11-19,16:14:52,2
112095914083687946866,adam burrow,2,"It's a quick stop, not much more to say than that.",0x88e8ec2cbe4ec8e3:0x33cd95344d6390a3,2018-03-08,02:54:51,1
111358742334338870132,Vivian 'Valkyrie' Piorkowski,4,Not a gas station but looks like it's had some upgrades since I was gone. Not to much but the two behind the counter were very friendly.,0x88e8ec2cbe4ec8e3:0x33cd95344d6390a3,2016-10-04,13:38:31,3
106395901457597909492,Ronald Stewart,5,None,0x88e8ec2cbe4ec8e3:0x33cd95344d6390a3,2015-02-01,04:58:03,1
108904820590660459760,Keeno Keys,5,It’s open now & it’s a good place for quick stops cheap gas & food,0x88e5cafa069f1f99:0x9872a19ecfdab3db,2018-01-05,22:41:52,1
117411980501358045077,A.D. Roberts,1,The absolute worst gas station in the world!!! Never open during regular business hours. It is 12 noon on a Saturday and they are not open!!! And the pumps are off!!! Take there franchise,0x88e5cafa069f1f99:0x9872a19ecfdab3db,2020-05-02,16:15:10,1
107760513445629194138,Brian Swann,1,Place was not open. People were pumping gas and all the lights were on inside but the door was locked and noone was inside,0x88e5cafa069f1f99:0x9872a19ecfdab3db,2019-01-10,13:43:34,1
102547835771264246416,J,1,The pump screen was broken. Clerk said he has no money to fix it. What a joke.,0x88e5cafa069f1f99:0x9872a19ecfdab3db,2019-12-19,23:21:10,1
109133343876192004313,Charles Sylvester,1,Gas pumps under construction. Store looks closed.,0x88e5cafa069f1f99:0x9872a19ecfdab3db,2018-10-01,17:25:43,1
108792316447730105483,Steve Perry,1,Worst service ever. Been coming here for while now at night. Employees are to busy on their phones or chatting with people in parking lot. If their inside you wait til they put down their phones for service. I don't care if your having a baby or not. All I need to do is get in and out. I don't care if your missing a night at the club and your horrible make up job you put on. Nothing is ever stocked. Now I know why. Hope the day crew is better than over night.,0x88e6ec9cee8a6de9:0x3a739611fd5a15a3,2020-11-14,09:27:23,1
107144735184157102412,Stephen Flores,5,Very good service and client treatment,0x88e6ec9cee8a6de9:0x3a739611fd5a15a3,2021-04-08,12:25:36,1
109267390412107681769,Jeremy Sherman,5,i love this place especially when they do the free spin and win stuff and things like that nice place.,0x88e6ec9cee8a6de9:0x3a739611fd5a15a3,2020-03-05,17:02:36,4
107201192144334722060,Stacey Howell,1,This store is the slowest place ever there could be 3 cashiers and NOONE in line but you still have to wait!!they would rather talk with each other than wait on a customer,0x88e6ec9cee8a6de9:0x3a739611fd5a15a3,2020-06-26,15:24:50,1
116967627652119255270,Dan Peterz,1,I dread having to come to this store. The food here is just terrible.,0x88e6ec9cee8a6de9:0x3a739611fd5a15a3,2020-04-28,21:19:11,1
105866971027983709956,mjf greenhawk,5,None,0x88e6ec9cee8a6de9:0x3a739611fd5a15a3,2018-11-15,04:39:39,1
109714012932691747621,Phyllis Clark,3,None,0x88e6ec9cee8a6de9:0x3a739611fd5a15a3,2018-12-17,01:10:14,1
108481055046844944143,Kenny Noel,5,None,0x88e6ec9cee8a6de9:0x3a739611fd5a15a3,2020-07-26,14:53:13,1
108556584031526126017,Jamie Wood,5,None,0x88e6ec9cee8a6de9:0x3a739611fd5a15a3,2020-11-01,19:35:22,1
117459138773014387367,Elaina Henderson,1,None,0x88e6ec9cee8a6de9:0x3a739611fd5a15a3,2020-01-11,15:15:58,1
108493536892203969869,Dr. Bill Ramsay (Dr. TerrorEyes),1,"Well, the 16 Exxon-Mobil fuel pumps here did NOT work with the Exxon-Mobil smartphone app. Wth! Then why display the App's signs at the pump? (See pics.)

You can't have it log in and you can't simply use the App's bar code scanner. Over the past year or two, I have never had a  Mobil station not work with the app.

FIX IT. I'll buy gas elsewhere.",0x88e86b850aeb5741:0x885f4720d5e8a85b,2021-02-24,19:42:12,1
101694121669883499949,Zane Provost,5,Accidentally couged without a mask on at the beginning of the pandemic and made eye contact with the cashier. Had a good laugh that day. Definitely would go again,0x88e86b850aeb5741:0x885f4720d5e8a85b,2020-12-11,18:28:45,3
114088710031438460376,Michael T,1,RUDE and obnoxious manager!  STAY AWAY,0x88e86b850aeb5741:0x885f4720d5e8a85b,2021-05-13,11:55:53,1
107473991321836768321,Cathy Munn,5,"We just went through hurricane Irma and things are rough. Gas lines are terrible when you could find gas.  We pulled into a line for gas at Circle K in Lecanto Fl @highway 491 and Cr 486. They were amazing, well organized, keeping the line going and everybody got in and out quickly.  Other lines around town you hear 4hrs. We were in and out in 45 mins. The employees that were directing people to the pumps were great.  You have a life long customer. I thought it would be nice to drop a note of thanks.",0x88e86b850aeb5741:0x885f4720d5e8a85b,2017-09-14,03:29:20,3
101349567845940346342,Sean Donahue,3,Very basic store and not as nice as the Wawa across the street.,0x88e86b850aeb5741:0x885f4720d5e8a85b,2019-11-30,20:11:59,1
104879623052160177782,Stephen Madden,5,Quick pumps and quick cashier service...Kudos to you Circle K team!!,0x88e86b850aeb5741:0x885f4720d5e8a85b,2018-10-18,14:30:47,1
115136083437628843986,Don Pierce,1,"What is there to say,? A lot store is always dirty, fountain machine always sticky, either out of soda,cups, straws, lids or something, coffee area the same way. It is really a shame to see the newest store in our county as the dirtiest store I have been  in for years! I have not been in this store for months after I found I was always sick! After seeing my doctor and said I was sick from injesting",0x88e86b850aeb5741:0x885f4720d5e8a85b,2014-05-09,23:28:05,1
106769665009457948356,Sherrie Hicks,5,The people are friendly and store is usually clean.,0x88e86b850aeb5741:0x885f4720d5e8a85b,2018-12-21,17:16:02,3
117484782192655147924,P B,2,Store is a dirty inside including restrooms when ive visited.,0x88e86b850aeb5741:0x885f4720d5e8a85b,2016-08-30,13:48:01,1
100063109983030309699,Brandon Hunt,5,None,0x88e86b850aeb5741:0x885f4720d5e8a85b,2018-02-03,23:34:37,1
100321656970695847101,Genette Martin,5,None,0x88e86b850aeb5741:0x885f4720d5e8a85b,2018-10-31,18:27:16,1
112593481789457732687,Tiffany Negron,1,Single mom here who lives paycheck to paycheck. I donated plasma to get my medication. I donate 2x a week. Never have had an issue anywhere using my cc. As soon as I left the plasma center I needed gas so I stopped here and got $10. I was supposed to have a $60 balance on my card. But they put a hold for 8 days from the system they use on my card and my avail balance is $14!!! The manager states it is my bank but they did not put the hold and in 3 yrs. This has never happened anywhere else. Just be careful using a credit card or just pay cash.,0x88c2cda83a9f6a53:0xc73b10ca34c42fe9,2021-05-16,17:42:08,2
109824262740999450684,benjamin hurst,1,Ask to you the restroom it says out of order opened the door bathroom looks perfectly fine I was a paying customer asked to if it was really out of order. Was told yes and can you not read The lady working was extremely rude I needed to throw up I was feeling under the weather I was told she was going to call the police on me if I walked to the back of the building to puke,0x88c2cda83a9f6a53:0xc73b10ca34c42fe9,2019-06-28,15:51:49,1
108488211264455118032,K Ayers,4,It's Cir... Oh.. K. 😩🥴😜,0x88c2cda83a9f6a53:0xc73b10ca34c42fe9,2021-03-20,19:47:46,1
